CarId,CarModel,DateOfIssue,HorsePower,Transmission
1,G-Classe,3.8.2015,288,0
2,ECoupe-Classe,5.5.2017,477,1
3,V-Classe,2.2.2010,647,0
4,GLCCope-Classe,26.3.2013,355,1
5,ECoupe-Classe,14.5.2017,212,0
6,SCoupe-Classe,15.12.2013,305,0
7,B-Classe,21.11.2012,240,1
8,E-Classe,27.11.2016,693,0
9,ECoupe-Classe,6.4.2019,386,0
10,GLECoupe-Classe,14.7.2016,297,1
11,GLECoupe-Classe,2.12.2018,248,1
12,GLCCope-Classe,23.11.2018,618,0
13,B-Classe,12.4.2013,309,0
14,V-Classe,6.8.2013,541,1
15,SCoupe-Classe,8.10.2019,240,1
16,GLE-Classe,23.1.2016,213,0
17,X-Classe,17.9.2014,150,1
18,GLECoupe-Classe,25.1.2019,350,1
19,GLECoupe-Classe,26.6.2013,373,1
20,GLECoupe-Classe,24.8.2016,131,0
21,GLECoupe-Classe,27.5.2017,653,1
22,CCoupe-Classe,7.1.2013,392,0
23,V-Classe,18.8.2017,494,0
24,GLC-Classe,18.5.2013,583,1
25,C-Classe,11.11.2016,657,1
26,X-Classe,23.5.2010,312,0
27,C-Classe,7.7.2012,150,1
28,B-Classe,9.9.2013,264,1
29,E-Classe,18.4.2018,438,0
30,SCoupe-Classe,20.10.2013,557,1
31,E-Classe,27.7.2013,451,0
32,B-Classe,15.2.2017,338,1
33,C-Classe,26.6.2019,651,1
34,GLS-Classe,8.9.2014,218,1
35,GLS-Classe,18.11.2018,615,1
36,S-Classe,23.3.2017,277,0
37,E-Classe,22.9.2017,314,1
38,C-Classe,20.4.2010,585,1
39,G-Classe,23.7.2014,235,0
40,V-Classe,20.3.2017,670,0
41,GLC-Classe,19.6.2012,469,1
42,G-Classe,7.10.2012,537,1
43,S-Classe,22.7.2018,427,0
44,SCoupe-Classe,22.9.2013,435,1
45,X-Classe,20.9.2013,528,1
46,GLE-Classe,13.4.2010,584,1
47,GLCCope-Classe,16.3.2010,208,0
48,B-Classe,20.7.2011,651,0
49,V-Classe,1.7.2010,298,1
50,GLS-Classe,3.3.2014,209,1
51,C-Classe,24.9.2017,123,1
52,A-Classe,28.10.2019,196,0
53,A-Classe,13.6.2010,468,0
54,CCoupe-Classe,11.5.2015,696,0
55,GLC-Classe,8.7.2013,572,1
56,GLCCope-Classe,17.2.2017,393,0
57,A-Classe,28.4.2013,353,1
58,GLECoupe-Classe,15.7.2017,445,1
59,GLC-Classe,4.11.2011,288,0
60,GLE-Classe,16.3.2014,584,0
61,E-Classe,8.6.2016,532,0
62,G-Classe,5.8.2017,483,0
63,X-Classe,10.9.2015,444,0
64,E-Classe,20.10.2013,395,1
65,CCoupe-Classe,3.11.2017,404,1
66,GLE-Classe,25.10.2017,583,1
67,GLECoupe-Classe,19.10.2019,276,0
68,SCoupe-Classe,27.8.2014,527,1
69,C-Classe,23.2.2016,611,1
70,V-Classe,3.8.2018,579,0
71,A-Classe,16.10.2019,391,0
72,G-Classe,5.9.2015,436,1
73,V-Classe,6.4.2018,149,0
74,GLE-Classe,2.10.2017,103,1
75,GLE-Classe,9.8.2018,178,0
76,C-Classe,23.11.2015,148,1
77,GLC-Classe,27.9.2016,423,1
78,ECoupe-Classe,25.4.2016,576,0
79,E-Classe,16.8.2019,571,1
80,GLECoupe-Classe,23.9.2010,533,1
81,GLC-Classe,6.7.2018,577,0
82,GLECoupe-Classe,11.12.2013,195,0
83,ECoupe-Classe,19.4.2019,411,1
84,GLCCope-Classe,22.4.2015,178,1
85,X-Classe,23.2.2014,661,1
86,X-Classe,21.12.2012,387,0
87,X-Classe,2.6.2018,476,1
88,E-Classe,3.7.2016,230,0
89,B-Classe,13.4.2012,364,0
90,GLE-Classe,20.2.2013,607,0
91,E-Classe,16.8.2010,399,0
92,GLE-Classe,5.11.2011,579,1
93,CCoupe-Classe,11.1.2011,511,0
94,G-Classe,26.1.2016,245,1
95,A-Classe,22.10.2019,247,0
96,CCoupe-Classe,3.2.2010,625,1
97,GLE-Classe,22.9.2010,356,1
98,ECoupe-Classe,4.2.2016,120,1
99,S-Classe,24.9.2018,525,1
100,A-Classe,9.9.2016,217,1
