DealerId,City,DealerName,CarAmount
1,Tver,Avilon,76
2,Sochi,Rus,99
3,Lipetsk,AMG,29
4,Tolyatti,Rus,22
5,Kazan,Rus,93
6,Ufa,AMG,28
7,Tyumen,Avilon,60
8,Moscow,Avilon,43
9,Saint-Petersburg,Rus,42
10,Tolyatti,Rus,86
11,Tolyatti,AMG,29
12,Samara,Avilon,89
13,Tyumen,AMG,6
14,Sochi,Avilon,54
15,Chelyabinsk,Izmaylovo,41
16,Perm,Rus,4
17,Irkutsk,Rus,71
18,Sochi,Avilon,47
19,Saint-Petersburg,AMG,21
20,Kirov,Izmaylovo,57
21,Irkutsk,AMG,71
22,Kirov,Avilon,62
23,Nizhny Novgorod,Rus,74
24,Sochi,Avilon,94
25,Saint-Petersburg,Avilon,93
26,Ufa,Avilon,93
27,Perm,AMG,57
28,Perm,AMG,12
29,Tula,AMG,77
30,Tula,Avilon,40
31,Tyumen,Rus,25
32,Lipetsk,Izmaylovo,44
33,Voronezh,Rus,84
34,Sochi,Izmaylovo,82
35,Chelyabinsk,Izmaylovo,51
36,Saint-Petersburg,Avilon,4
37,Samara,Rus,33
38,Tyumen,AMG,90
39,Moscow,Izmaylovo,81
40,Moscow,Rus,89
41,Rostov,AMG,68
42,Rostov,AMG,97
43,Moscow,Avilon,8
44,Ufa,Izmaylovo,68
45,Chelyabinsk,Izmaylovo,57
46,Ufa,Avilon,82
47,Irkutsk,Avilon,35
48,Samara,Rus,27
49,Chelyabinsk,AMG,54
50,Nizhny Novgorod,AMG,82
51,Nizhny Novgorod,AMG,56
52,Samara,Rus,23
53,Saint-Petersburg,AMG,14
54,Nizhny Novgorod,AMG,11
55,Moscow,Avilon,87
56,Chelyabinsk,Rus,29
57,Kirov,AMG,2
58,Samara,AMG,66
59,Samara,Izmaylovo,83
60,Nizhny Novgorod,Rus,19
61,Samara,AMG,10
62,Perm,Izmaylovo,14
63,Kazan,Avilon,89
64,Ufa,Rus,38
65,Perm,Rus,30
66,Kirov,Rus,80
67,Tula,Izmaylovo,5
68,Ufa,AMG,68
69,Tolyatti,Izmaylovo,55
70,Tyumen,Avilon,30
71,Saint-Petersburg,Rus,54
72,Samara,Avilon,59
73,Saint-Petersburg,Avilon,42
74,Lipetsk,Izmaylovo,64
75,Perm,Avilon,60
76,Perm,AMG,67
77,Lipetsk,AMG,43
78,Irkutsk,Avilon,82
79,Moscow,AMG,94
80,Lipetsk,Izmaylovo,71
81,Ufa,Avilon,98
82,Lipetsk,Izmaylovo,7
83,Tolyatti,Izmaylovo,55
84,Chelyabinsk,Rus,88
85,Irkutsk,Avilon,30
86,Perm,AMG,57
87,Chelyabinsk,Izmaylovo,16
88,Tolyatti,Avilon,75
89,Voronezh,AMG,2
90,Rostov,Avilon,75
91,Rostov,AMG,15
92,Sochi,Izmaylovo,74
93,Lipetsk,Izmaylovo,65
94,Moscow,AMG,61
95,Irkutsk,AMG,39
96,Samara,Avilon,52
97,Sochi,Avilon,100
98,Rostov,Avilon,13
99,Kirov,Rus,12
100,Tula,AMG,98
