FactoryId,City,Amount
1,Ufa,30
2,Lipetsk,43
3,Chelyabinsk,190
4,Chelyabinsk,62
5,Tver,259
6,Tolyatti,192
7,Perm,199
8,Kazan,132
9,Moscow,63
10,Tyumen,171
11,Tula,191
12,Moscow,28
13,Lipetsk,111
14,Nizhny Novgorod,131
15,Tula,41
16,Samara,90
17,Rostov,158
18,Samara,96
19,Samara,229
20,Chelyabinsk,230
21,Tver,107
22,Irkutsk,246
23,Nizhny Novgorod,6
24,Kazan,246
25,Lipetsk,11
26,Sochi,138
27,Rostov,141
28,Moscow,227
29,Saint-Petersburg,10
30,Kirov,60
31,Rostov,281
32,Chelyabinsk,40
33,Nizhny Novgorod,11
34,Rostov,23
35,Ufa,193
36,Rostov,236
37,Perm,192
38,Perm,282
39,Rostov,64
40,Saint-Petersburg,165
41,Saint-Petersburg,48
42,Tula,212
43,Chelyabinsk,20
44,Chelyabinsk,106
45,Tula,96
46,Tyumen,165
47,Saint-Petersburg,240
48,Lipetsk,22
49,Rostov,242
50,Tolyatti,94
51,Moscow,129
52,Moscow,218
53,Sochi,214
54,Kirov,18
55,Chelyabinsk,24
56,Kirov,159
57,Ufa,182
58,Tolyatti,51
59,Kirov,190
60,Tver,23
61,Tula,182
62,Lipetsk,97
63,Lipetsk,282
64,Saint-Petersburg,260
65,Rostov,69
66,Kazan,179
67,Ufa,265
68,Moscow,20
69,Saint-Petersburg,44
70,Kazan,138
71,Tula,293
72,Perm,264
73,Samara,124
74,Ufa,127
75,Irkutsk,91
76,Kirov,11
77,Chelyabinsk,235
78,Tver,47
79,Kazan,51
80,Voronezh,284
81,Tula,293
82,Kazan,205
83,Chelyabinsk,258
84,Irkutsk,151
85,Moscow,179
86,Lipetsk,183
87,Moscow,295
88,Rostov,187
89,Saint-Petersburg,150
90,Tyumen,139
91,Ufa,292
92,Tula,106
93,Rostov,72
94,Voronezh,265
95,Tolyatti,95
96,Kirov,110
97,Nizhny Novgorod,276
98,Lipetsk,88
99,Samara,177
100,Saint-Petersburg,227
